tweet,sentiment
I znów wyszedłeś na idiotę łysa pało,negative
Które media są wolne?,neutral
"Wolne media? Tusk teraz zwiewa przed wolnymi mediami, a telewizję, która puszcza jego własne słowa, pozywa do sądu, mało tego, nawet sprostowania nie żąda, wiesz może dlaczego? 😂",negative
Brak szacunku? Ty to dobrze znasz!,negative
Właśnie 👍,positive
Borys Ty Leninie zagorzały 🤣🤣,negative
.. rekomenduję wygoogle'ać znaczenie terminu 'szacunek' i się go naumieć...🍅,negative
I teraz czytamy takie głupie wypowiedzi 😜,negative
Spierdalaj  #R,negative
"Dobrze Borys mówisz,  nie zasługujecie na rządzenie w żadnym kraju!!👏🤣🤣",negative
To dopiero początek...,positive
"To tak jak Wy. Też nie uznajecie wyników demokratycznych wyborów. Podważacie wszelkie nominacje na różne urzędy. Nie uznajecie TK, niektórych sędziów SN, sędziów sądów powszechnych. Powołaliście KOD, jeszcze przed wyborami w 2015 r., okupowaliscie Sejm.",negative
"Oni owszem nie zasługują to prawda.  Ale Ty też nie, ani żaden z Twoich ""ziomali"" z ławki.",negative
Ty się nawet do kurnika nie nadajesz jako sprzątacz....,negative
"""Kup se flaszkę i walnij się w czaszkę"" zgodnie z wolą  Pani  Jachiry",negative
Zmiłuj się Pan i idź do psychiatryka te ukryte pedalstwo z Pana strony da się wyleczyć,negative
"Teraz pan już jesteś nie na Marsie, ale poleciałes w inną galaktykę 😂😂😂",negative
"a kto to?, a gdzie to? - podważali 7 lat temu wynik wyborów, blokowali sejm, szturmowali go po wygranej PiS",negative
A ciamajdan to co to było. Nie rób z ludzi idiotów. Jesteście z Plusem siebie warci.,negative
Warto z siebie robić idiotę? Widać warto 😅,negative
"Na szczęście we Francji, Niemczech, Belgii, Danii,Szwecji jest demokracja i poszanowanie wartości - tylko ciapaci inżynierowie na socjalu to potrafią docenić i się dobrze bawić.Niby coś tam spalą, zdemolują, pobiją białasów, wypędzą ich  z miast,paru zastrzelą, czy zadźgają.OK.",neutral
jak zawsze; glupi post spod Budki z piwem,negative
Polacy!!!! Trwa zamach stanu!!!! Policzycie się na ulicach!!!!!,neutral
A nie wwozili zadymiarzy w bagażnikach? Słabo! Powinniście ich podszkolić.😏,negative
🤣🤣🤣,negative
A ciamajdan i okupacja Sejmu? Historia was rozliczy...,negative
Kretynie. A kto śpiewał z mównicy sejmowej i organizował pucze? Nie wstyd rano patrzeć Ci w lustro ?,negative
"eurokolchozwy/komunisyczny Hipokryta.
Popatrz ba diebie i tobie podobnym a potem dawaj lekcje umoralniajace",negative
Jeżeli hipokryzje możnaby liczy w kilometrach to z całą PO bylibyście już w okolicy Jowisza.,negative
Napisał naczelny populista tenkraju... idi naxui worku rubli!,negative
A pamietasz sklerozo. Mucha i przebój. Nie pucz kiedy odjadę. Kłamczuchy krętacze i kombinatorzy. Precz.,negative
I czego to dowodzi?,neutral
